gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,2,13,18.3,23.0,12.8,5.4,74,54,0,0,0,0,0,0,True,5
12,8,28,44.8,9.0,38.0,9.2,90,54,0,1,0,0,1,0,False,17
13,2,6,3.9,31.0,14.6,5.0,77,54,0,0,0,0,2,0,True,12
14,2,-1,3.2,54.0,7.0,6.4,72,54,0,0,0,0,1,0,False,20
15,1,1,0.8,4.0,3.8,0.9,18,54,0,0,0,0,0,0,True,13
16,2,6,23.7,33.0,14.2,7.1,82,54,0,0,0,0,1,0,False,14
17,5,15,15.1,72.0,24.2,11.1,89,54,0,1,0,0,0,0,True,2
18,1,2,2.7,16.0,3.8,2.3,90,54,0,0,1,0,0,0,False,4
