gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

125,1,11,17.2,2.0,8.6,2.8,90,54,0,0,1,0,1,0,False,3
126,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,4
127,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,15
128,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,2
129,2,15,12.4,0.0,26.8,3.9,90,54,0,0,0,0,1,0,True,17
130,1,3,0.0,0.0,4.0,0.4,2,54,0,0,0,0,0,0,False,11
131,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,8
132,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,18
