gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,2,11,0.6,4.0,4.4,0.9,69,45,0,0,0,0,4,0,False,10
2,3,19,13.3,4.0,19.6,3.7,86,45,0,0,0,0,0,0,True,13
3,2,13,0.9,0.0,10.0,1.1,80,45,0,0,0,0,3,0,True,6
4,2,20,1.5,0.0,14.6,1.6,90,45,0,0,0,0,2,0,False,19
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,5
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
9,1,6,1.3,1.0,19.2,2.2,40,45,0,0,0,0,0,0,False,3
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
11,2,11,1.5,22.0,6.6,3.0,83,45,0,0,0,0,1,0,False,4
12,2,12,3.2,18.0,21.8,4.3,90,45,0,0,0,0,2,0,True,18
13,3,6,1.9,21.0,20.0,4.3,90,45,0,0,0,0,0,0,False,8
14,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,1
15,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,16
16,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,15
17,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,9
18,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,20
19,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,2
20,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,17
21,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,7
22,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,12
23,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,3
24,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,17
25,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,13
26,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,10
27,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,20
28,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,15
30,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,1
31,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,19
34,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,6
35,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,5
36,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,11
