gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

48,2,11,14.0,35.0,10.0,5.9,90,60,0,0,0,0,1,0,False,13
49,2,11,16.3,39.0,12.8,6.8,70,60,0,0,0,0,1,0,False,1
50,2,13,13.8,48.0,11.4,7.3,90,60,0,0,0,0,1,0,True,2
51,2,9,4.7,21.0,10.0,3.6,90,60,0,0,0,0,1,0,False,3
52,10,25,13.8,37.0,51.0,10.2,90,60,1,0,0,0,1,0,True,15
53,6,22,2.2,2.0,10.4,1.5,90,60,0,0,0,0,0,0,True,19
54,1,8,4.7,23.0,7.8,3.6,90,60,0,0,0,0,2,0,False,4
55,1,10,14.5,10.0,14.2,3.9,90,60,0,0,0,0,2,0,True,17
