gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

35,-1,3,0.5,17.0,7.6,2.5,69,48,0,0,0,0,7,0,True,9
36,2,7,4.1,0.0,8.6,1.3,74,47,0,0,0,0,1,0,False,11
37,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,8
38,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,1
39,1,6,0.7,2.0,8.4,1.1,14,47,0,0,0,0,0,0,True,18
40,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,14
41,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,13
42,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,True,19
