gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

122,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,2
123,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,16
124,1,16,0.0,0.0,16.2,1.6,90,48,0,0,0,0,3,2,False,10
125,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,6
126,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,13
127,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,5
128,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,12
129,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,1
