gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

86,1,2,0.7,0.0,0.0,0.0,15,54,0,0,0,0,0,0,True,7
87,1,5,0.3,0.0,2.4,0.3,3,54,0,0,0,0,0,0,True,20
88,1,17,1.8,12.0,14.4,2.8,90,54,0,0,0,0,2,0,False,9
89,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,16
90,1,14,15.2,4.0,10.0,2.9,90,53,0,0,0,0,2,0,False,14
91,2,18,6.5,2.0,12.2,2.1,71,53,0,0,0,0,1,0,True,4
92,5,26,15.7,2.0,27.6,4.5,61,52,0,1,0,0,1,0,False,19
93,0,5,0.7,2.0,1.8,0.5,39,52,0,0,0,0,3,0,True,11
