gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

48,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,15
49,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,13
50,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,5
51,1,2,0.5,0.0,0.0,0.0,26,44,0,0,0,0,0,0,True,17
52,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,6
53,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,20
54,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,1
55,1,2,0.0,0.0,1.8,0.2,11,44,0,0,0,0,0,0,False,16
