gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

119,3,0,13.3,19.0,14.6,4.7,90,50,0,0,0,0,0,0,True,9
120,2,11,17.8,16.0,14.4,4.8,90,50,0,0,0,0,2,0,False,19
121,1,2,22.3,48.0,1.6,7.2,73,50,0,0,1,0,1,0,True,1
122,2,8,5.0,17.0,9.0,3.1,90,50,0,0,0,0,1,0,False,13
123,2,2,31.9,17.0,11.6,6.1,90,50,0,0,0,0,1,0,True,10
124,3,7,45.5,6.0,4.4,5.6,81,50,0,0,0,0,0,0,False,14
125,2,5,11.7,21.0,4.0,3.7,67,50,0,0,0,0,1,0,False,3
126,8,28,36.1,35.0,48.4,12.0,69,50,1,0,0,0,1,0,True,4
