gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

119,1,16,14.4,0.0,27.0,4.1,90,49,0,0,1,0,2,0,True,1
120,2,17,10.9,0.0,13.6,2.5,90,48,0,0,0,0,8,0,False,11
121,2,11,5.4,8.0,7.6,2.1,90,48,0,0,0,0,2,0,False,20
122,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,15
123,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,17
124,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,3
125,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,6
126,3,12,2.8,1.0,21.8,2.6,90,48,0,0,0,0,0,0,False,14
