gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

59,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,3
60,1,2,10.0,20.0,2.0,3.2,35,58,0,0,0,0,1,0,True,15
61,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,True,11
62,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,False,5
63,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,True,19
64,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,False,4
65,5,27,0.3,21.0,33.0,5.4,22,57,1,0,0,0,0,0,True,17
66,2,5,24.1,39.0,2.4,6.6,73,57,0,0,0,0,1,0,False,16
