gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

10,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,15
11,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,13
12,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,5
13,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,17
14,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,6
15,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,20
16,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,1
17,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
18,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,7
19,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,9
20,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,3
21,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,15
22,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,8
23,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,9
24,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
25,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,4
26,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,11
27,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
28,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
29,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,1
30,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,6
31,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,13
32,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,5
33,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,14
34,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,18
35,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,12
36,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,2
