gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

4,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,14
5,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,2
6,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,12
7,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,3
8,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,7
9,1,1,0.0,0.0,0.0,0.0,16,58,0,0,0,0,1,0,False,8
10,1,2,0.0,0.0,0.0,0.0,4,58,0,0,0,0,0,0,True,15
11,1,1,21.8,4.0,3.0,2.9,45,58,0,0,0,0,1,0,True,13
