assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,11,0,26.3,425,10,2,0,4.6,19.8,2018-08-11T16:30:00Z,90,8,0,0,0,0,1,0,59443,2,2,0.0,1,0,0,0,45,True,0
0,0,-3,0,6.6,425,17,2,0,3.0,0.0,2018-08-18T14:00:00Z,68,11,1,0,0,0,2,0,57271,0,2,26.0,-1,-4006,1063,5069,45,False,0
0,0,7,0,1.1,425,30,1,0,3.8,14.8,2018-08-25T11:30:00Z,90,13,0,0,0,0,3,0,40451,1,1,22.0,2,-16695,260,16955,44,True,0
0,0,26,1,25.3,425,40,0,0,8.4,23.0,2018-09-01T14:00:00Z,90,19,0,0,0,0,4,0,39336,1,0,36.0,6,-1917,2371,4288,44,False,0
1,3,31,1,40.3,425,50,0,0,11.3,28.4,2018-09-16T12:30:00Z,90,4,0,0,0,0,5,0,53553,0,1,44.0,12,12590,18679,6089,44,True,0
0,0,7,0,3.5,425,59,1,0,3.6,13.6,2018-09-22T14:00:00Z,90,14,0,0,0,0,6,0,110337,1,1,19.0,2,50654,59052,8398,44,False,0
1,3,43,1,34.3,425,70,0,0,7.8,29.2,2018-09-29T14:00:00Z,90,16,0,0,0,0,7,0,194129,0,2,14.0,12,74759,81674,6915,45,True,0
0,3,38,1,1.6,425,73,0,1,6.9,48.0,2018-10-06T14:00:00Z,90,7,0,0,0,0,8,0,346065,1,0,19.0,15,142941,151501,8560,46,False,0
0,0,11,0,6.3,425,90,2,0,1.2,5.4,2018-10-20T14:00:00Z,71,18,0,0,0,0,9,0,898843,2,0,0.0,1,523233,534466,11233,48,True,0
0,0,13,0,29.7,425,91,1,0,10.4,24.0,2018-10-27T14:00:00Z,90,3,0,0,0,0,10,0,962881,0,1,50.0,2,74499,105476,30977,49,False,0
0,0,18,0,47.3,425,110,3,0,8.3,29.0,2018-11-03T19:45:00Z,90,17,0,0,0,0,11,0,949848,3,2,7.0,1,-10052,55785,65837,49,True,0
0,0,12,0,32.5,425,111,1,0,5.9,22.2,2018-11-11T16:30:00Z,90,1,0,0,0,0,12,0,944667,1,1,4.0,1,-8673,41520,50193,49,False,1
0,0,12,0,11.7,425,130,2,0,3.7,15.0,2018-11-25T16:00:00Z,90,10,0,0,0,0,13,0,1026622,2,0,10.0,1,72369,132525,60156,49,True,0
0,0,16,0,1.6,425,132,2,1,8.5,46.8,2018-11-30T20:00:00Z,90,5,0,0,0,0,14,0,1025378,1,2,37.0,7,-1507,30288,31795,49,False,0
1,0,25,0,11.4,425,148,1,0,5.1,31.4,2018-12-05T19:45:00Z,90,6,0,0,0,0,15,0,1036181,1,2,8.0,5,11223,37080,25857,49,True,0
0,0,17,0,3.4,425,159,1,1,10.2,43.0,2018-12-09T16:00:00Z,90,15,0,0,0,0,16,0,1168889,2,1,56.0,7,112780,121732,8952,50,False,1
0,0,24,1,1.9,425,170,0,0,2.3,15.4,2018-12-15T15:00:00Z,90,2,0,0,0,0,17,0,1306984,0,2,6.0,6,135710,150925,15215,51,True,0
0,0,16,0,23.2,425,180,2,0,10.2,25.2,2018-12-21T20:00:00Z,90,12,0,0,0,0,18,0,1368356,2,0,54.0,1,64451,95542,31091,52,True,0
0,0,11,0,15.9,425,184,1,0,5.1,13.8,2018-12-26T12:30:00Z,90,9,0,0,0,0,19,0,1460916,1,1,21.0,2,80155,102611,22456,52,False,0
1,0,23,0,26.9,425,199,1,0,8.8,40.8,2018-12-29T15:00:00Z,90,17,0,0,0,0,20,0,1383537,3,1,20.0,5,-68906,28118,97024,52,False,0
0,0,14,0,13.8,425,210,2,0,4.9,26.2,2019-01-02T19:45:00Z,90,7,0,0,0,0,21,0,1482043,2,0,9.0,1,77558,107415,29857,52,True,0
0,0,14,0,0.3,425,218,3,0,2.7,24.8,2019-01-14T20:00:00Z,90,13,0,0,0,0,22,0,1409290,0,3,2.0,1,-69916,36877,106793,52,False,0
0,0,2,0,4.2,425,230,1,0,1.4,3.2,2019-01-19T12:30:00Z,17,11,0,0,0,0,23,0,1414387,3,4,7.0,1,-1136,70658,71794,52,True,0
0,0,30,1,22.8,425,236,0,0,6.9,21.4,2019-01-29T19:45:00Z,90,19,0,0,0,0,24,0,1413263,0,3,25.0,6,-5295,48334,53629,52,True,0
1,0,14,0,2.0,425,246,1,0,1.6,12.2,2019-02-02T15:00:00Z,90,8,0,0,0,0,25,0,1467778,3,1,2.0,5,65026,86831,21805,53,False,0
0,0,7,0,23.3,425,260,1,0,5.7,5.0,2019-02-11T20:00:00Z,80,15,0,0,0,0,26,0,1567313,1,1,29.0,2,80380,95332,14952,53,True,0
