kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T14:00:00Z,10,28,18.4,18.0,44.4,8.1,90,45,1,0,0,0,1,0
2016-08-20T14:00:00Z,9,25,4.3,17.0,39.4,6.1,83,45,1,0,0,0,1,0
2016-08-27T14:00:00Z,2,16,36.7,37.0,18.2,9.2,90,46,0,0,0,0,3,0
2016-09-10T14:00:00Z,13,42,20.8,19.0,69.6,10.9,90,47,1,1,0,0,2,0
2016-09-18T11:00:00Z,10,32,17.1,17.0,48.0,8.2,81,48,1,0,0,0,1,0
2016-09-26T19:00:00Z,2,15,32.8,16.0,13.0,6.2,90,51,0,0,0,0,2,0
2016-10-01T14:00:00Z,2,8,6.4,0.0,0.0,0.6,78,52,0,0,0,0,2,0
2016-10-16T12:30:00Z,3,4,1.1,1.0,0.0,0.1,90,53,0,0,0,0,0,0
2016-10-22T14:00:00Z,2,7,12.7,6.0,0.6,1.9,77,52,0,0,1,0,0,0
2016-10-29T14:00:00Z,3,16,34.8,2.0,15.8,5.3,90,52,0,0,0,0,0,0
2016-11-06T14:15:00Z,2,10,18.3,31.0,14.2,6.4,90,50,0,0,0,0,6,0
2016-11-19T15:00:00Z,10,36,64.4,19.0,52.4,13.6,90,49,1,0,0,0,1,0
2016-11-27T12:00:00Z,2,15,22.0,11.0,23.8,5.7,90,50,0,0,0,0,1,0
2016-12-03T15:00:00Z,2,12,9.4,8.0,4.0,2.1,90,51,0,0,0,0,3,0
2016-12-10T12:30:00Z,2,12,18.9,16.0,4.6,4.0,90,51,0,0,0,0,2,0
2016-12-14T20:00:00Z,1,5,2.4,18.0,4.4,2.5,90,50,0,0,1,0,2,0
2016-12-17T15:00:00Z,2,13,35.3,2.0,9.4,4.7,90,50,0,0,0,0,1,0
2016-12-26T12:30:00Z,2,15,9.9,0.0,6.6,1.7,90,49,0,0,0,0,1,0
2017-01-01T13:30:00Z,2,9,1.8,0.0,0.0,0.1,78,49,0,0,0,0,4,0
2017-01-03T20:00:00Z,2,17,42.2,4.0,14.4,6.1,90,48,0,0,0,0,2,0
2017-01-14T15:00:00Z,3,15,68.8,10.0,16.0,9.5,90,48,0,0,0,0,0,0
2017-01-21T15:00:00Z,2,9,2.4,24.0,3.8,3.0,90,47,0,0,0,0,2,0
2017-01-31T19:45:00Z,5,23,28.8,36.0,25.8,9.1,90,46,0,1,0,0,1,0
2017-02-04T15:00:00Z,1,7,23.3,40.0,10.0,7.3,90,46,0,0,1,0,1,0
2017-02-11T15:00:00Z,2,9,9.9,0.0,4.2,1.4,90,46,0,0,0,0,2,0
2017-02-25T17:30:00Z,2,4,13.2,3.0,0.0,1.6,90,46,0,0,0,0,1,0
2017-03-04T15:00:00Z,2,7,11.7,3.0,4.8,2.0,69,46,0,0,0,0,2,0
2017-03-18T15:00:00Z,2,12,4.1,1.0,6.0,1.1,90,45,0,0,0,0,1,0
2017-04-01T14:00:00Z,2,14,36.3,1.0,16.6,5.4,90,45,0,0,1,0,0,0
2017-04-04T18:45:00Z,3,18,7.5,2.0,9.2,1.9,90,45,0,0,0,0,0,0
