kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2017-08-12T11:30:00Z,4,11,1.2,11.0,0.0,1.1,41,60,0,1,0,0,2,0
2017-08-19T14:00:00Z,11,31,43.3,106.0,43.4,19.3,79,60,1,0,0,0,0,0
2017-08-26T14:00:00Z,3,10,16.8,29.0,14.0,6.0,90,60,0,0,0,0,0,0
2017-09-09T14:00:00Z,3,10,13.0,38.0,23.2,7.4,90,60,0,0,0,0,0,0
2017-09-16T14:00:00Z,2,2,11.8,15.0,2.8,3.0,90,60,0,0,0,0,6,0
2017-09-23T14:00:00Z,7,24,11.4,34.0,48.6,9.4,90,60,1,0,1,0,1,0
2017-09-30T14:00:00Z,10,30,24.6,67.0,55.6,14.7,90,61,1,1,0,0,2,0
2017-10-14T16:30:00Z,5,11,17.8,23.0,1.4,4.2,90,62,0,1,0,0,1,0
2017-10-21T11:30:00Z,5,9,13.5,80.0,16.4,11.0,90,62,0,1,0,0,4,0
2017-10-28T14:00:00Z,1,-10,11.8,43.0,0.0,5.1,90,64,0,0,1,0,1,0
2017-11-05T16:30:00Z,7,19,13.3,67.0,42.0,12.2,90,64,1,0,0,0,3,0
2017-11-19T16:00:00Z,8,27,4.9,48.0,39.0,9.2,90,65,1,0,0,0,0,0
2017-11-25T15:00:00Z,6,20,25.9,26.0,31.0,8.3,78,65,0,1,0,0,0,0
2017-11-28T20:00:00Z,2,4,6.0,63.0,2.4,7.1,90,66,0,0,0,0,4,0
2017-12-02T15:00:00Z,1,-4,3.7,48.0,5.4,5.7,90,66,0,0,1,0,1,0
2017-12-09T15:00:00Z,2,-1,16.0,11.0,0.0,2.6,90,66,0,0,0,0,1,0
2017-12-12T20:00:00Z,6,11,14.8,50.0,38.2,10.3,83,66,0,1,0,0,0,0
2017-12-16T15:00:00Z,2,-1,16.1,29.0,2.8,4.8,90,66,0,0,0,0,4,0
2017-12-23T15:00:00Z,2,5,11.6,57.0,12.2,8.1,90,66,0,0,0,0,1,0
2017-12-26T15:00:00Z,5,8,23.0,36.0,8.4,6.7,90,65,0,1,0,0,1,0
2017-12-30T15:00:00Z,5,15,20.0,42.0,12.0,7.4,90,65,0,1,0,0,2,0
2018-01-02T20:00:00Z,2,8,1.8,0.0,5.8,0.8,81,65,0,0,0,0,3,0
2018-01-13T15:00:00Z,2,8,2.9,24.0,4.6,3.2,90,64,0,0,0,0,2,0
2018-01-20T15:00:00Z,2,11,2.8,14.0,13.4,3.0,90,63,0,0,0,0,2,0
2018-01-31T20:00:00Z,3,3,11.3,26.0,4.6,4.2,67,63,0,0,0,0,0,0
2018-02-05T20:00:00Z,2,0,1.3,48.0,1.2,5.1,64,62,0,0,1,0,0,0
2018-02-10T15:00:00Z,2,7,3.0,15.0,7.8,2.6,81,62,0,0,0,0,2,0
2018-02-24T17:30:00Z,1,1,1.7,4.0,7.4,1.3,55,61,0,0,0,0,0,0
2018-03-03T15:00:00Z,1,1,2.8,14.0,0.2,1.7,53,61,0,0,0,0,0,0
2018-03-11T13:30:00Z,2,5,21.0,38.0,12.0,7.1,90,60,0,0,0,0,3,0
2018-03-17T17:30:00Z,2,11,1.3,19.0,15.6,3.6,64,60,0,0,0,0,3,0
2018-03-31T14:00:00Z,1,4,1.1,2.0,1.2,0.4,9,60,0,0,0,0,1,0
2018-04-07T14:00:00Z,1,5,0.2,0.0,2.2,0.2,5,60,0,0,0,0,0,0
2018-04-14T14:00:00Z,1,4,1.8,0.0,4.8,0.7,32,59,0,0,0,0,1,0
