assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,2.3,492,6,1,0,0.8,1.6,2018-08-10T19:00:00Z,27,14,0,0,0,0,1,0,9921,1,2,4.0,1,0,0,0,55,False,0
0,0,0,0,0.0,492,17,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,20,0,0,0,0,2,0,10137,0,2,0.0,0,-1295,812,2107,55,True,0
0,0,3,0,10.8,492,28,0,0,1.4,3.4,2018-08-25T14:00:00Z,12,16,0,0,0,0,3,0,7309,2,1,0.0,1,-3088,189,3277,54,False,0
0,2,28,0,35.1,492,37,2,1,9.9,44.6,2018-09-01T11:30:00Z,90,12,0,0,0,0,4,0,6152,2,1,19.0,8,-1416,206,1622,53,True,1
0,0,8,0,34.2,492,41,3,0,5.5,7.0,2018-09-15T14:00:00Z,60,2,0,0,0,0,5,0,25150,2,4,14.0,2,16062,22355,6293,53,False,0
0,0,-2,0,4.0,492,57,1,0,0.5,1.0,2018-09-22T14:00:00Z,45,10,0,0,0,0,6,0,22959,1,3,0.0,0,-1748,2982,4730,53,True,1
0,0,0,0,0.0,492,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,15,0,0,0,0,7,0,17938,2,0,0.0,0,-5103,979,6082,53,False,0
0,0,6,0,14.0,492,75,0,0,1.3,0.0,2018-10-06T14:00:00Z,10,8,0,0,0,0,8,0,14803,2,1,0.0,1,-3337,423,3760,53,True,0
0,0,0,0,3.3,492,81,0,0,2.6,0.6,2018-10-22T19:00:00Z,21,1,0,0,0,0,9,0,12501,1,3,22.0,1,-2493,322,2815,53,False,0
0,0,5,0,20.5,492,95,1,0,2.8,5.2,2018-10-27T16:30:00Z,45,19,0,0,0,0,10,0,11171,1,1,2.0,1,-1417,224,1641,53,True,0
0,0,0,0,0.0,492,103,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,5,0,0,0,0,11,0,10019,1,0,0.0,0,-1222,216,1438,52,False,0
0,0,15,1,82.8,492,116,0,0,13.2,21.6,2018-11-10T15:00:00Z,90,4,0,0,0,0,12,0,9287,0,0,28.0,3,-767,165,932,52,True,0
0,0,0,0,0.0,492,122,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,3,0,0,0,0,13,0,8797,1,1,0.0,0,-527,300,827,52,False,0
0,0,0,0,0.0,492,136,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,18,0,0,0,0,14,0,8318,0,2,0.0,0,-498,14,512,51,True,0
0,0,0,0,0.0,492,144,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,9,0,0,0,0,15,0,7783,1,1,0.0,0,-528,6,534,51,False,0
0,0,3,0,2.6,492,157,1,0,4.2,9.8,2018-12-08T19:45:00Z,34,17,0,0,0,0,16,0,7508,2,0,30.0,1,-292,18,310,51,True,0
