gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,4,13.2,0.0,1.4,1.5,7,45,0,0,0,0,0,0,True,17
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
3,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,16
5,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,15
6,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,3
7,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,10
8,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,6
10,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,4
11,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,2
12,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,12
13,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,18
14,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,19
15,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,5
16,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,9
17,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,7
18,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,1
19,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,20
20,2,10,0.5,0.0,20.2,2.1,90,42,0,0,0,0,1,0,True,11
21,6,23,1.6,0.0,9.2,1.1,90,42,0,0,0,0,0,0,True,3
22,1,5,0.0,0.0,8.2,0.8,8,42,0,0,0,0,0,0,False,15
23,2,16,15.8,4.0,23.6,4.3,90,42,0,0,0,0,1,0,True,16
24,1,14,1.0,0.0,26.8,2.8,90,42,0,0,0,0,3,0,False,11
25,2,14,3.1,1.0,34.4,3.9,90,42,0,0,0,0,1,0,True,4
26,1,13,10.6,0.0,23.8,3.4,90,42,0,0,1,0,1,0,False,6
27,6,23,0.9,0.0,18.6,2.0,90,42,0,0,0,0,0,0,True,12
