gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

92,1,2,0.2,0.0,0.0,0.0,4,45,0,0,0,0,0,0,True,19
93,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
94,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
95,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
96,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
97,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
98,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,17
99,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
