gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

45,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0,0,0,0,True,11
46,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0,0,0,0,False,5
47,10,30,12.8,41.0,47.2,10.1,90,65,1,0,0,0,0,0,True,19
48,1,1,0.7,2.0,0.0,0.2,29,65,0,0,0,0,1,0,False,4
49,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0,0,0,0,True,17
50,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0,0,0,0,False,16
51,0,0,0.0,0.0,0.0,0.0,0,64,0,0,0,0,0,0,True,14
52,0,0,0.0,0.0,0.0,0.0,0,64,0,0,0,0,0,0,False,9
